resource_type,key,plural_variable,plural_category,comment,english_value,locale,current_value,status,reviewer_notes
strings,A good next step: develop a source note,,,,A good next step: develop a source note,en,A good next step: develop a source note,english-source,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,ar,خطوة جيدة تالية: تطوير ملاحظة مصدر,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,nl,Een goede volgende stap: een bronnotitie ontwikkelen,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,fr,Bonne étape suivante : développer une note source,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,de,Ein guter nächster Schritt: Quellennotiz entwickeln,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,it,Un buon passo successivo: sviluppare una nota origine,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,ja,次の良いステップ:ソースメモを発展させる,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,ko,좋은 다음 단계: 출처 메모 작성하기,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,nb,Et godt neste trinn: utvikle et kildenotat,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,pt,Um bom próximo passo: desenvolver uma nota de origem,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,pt-BR,Um bom próximo passo: desenvolver uma nota fonte,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,ru,Хороший следующий шаг: разработать заметку источника,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,es,Buen próximo paso: desarrollar una nota de origen,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,sv,Ett bra nästa steg: utveckla en källanteckning,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,zh-Hans,下一步好建议:发展一条来源笔记,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,zh-Hant,下一步好建議:發展一條來源備忘錄,draft-translation,
