resource_type,key,plural_variable,plural_category,comment,english_value,locale,current_value,current_status,reviewed_value,review_status,reviewer,review_date,reviewer_notes
strings,A good next step: develop a source note,,,,A good next step: develop a source note,de,Ein guter nächster Schritt: Quellennotiz entwickeln,draft-translation,,,,,
strings,Abandon,,,,Abandon,de,Abbrechen,draft-translation,,,,,
strings,Abandon Run,,,,Abandon Run,de,Durchlauf abbrechen,draft-translation,,,,,
strings,Add,,,,Add,de,Hinzufügen,draft-translation,,,,,
strings,Add Protocol,,,,Add Protocol,de,Protokoll hinzufügen,draft-translation,,,,,
strings,Add Task,,,,Add Task,de,Aufgabe hinzufügen,draft-translation,,,,,
strings,Add a Protocol,,,,Add a Protocol,de,Ein Protokoll hinzufügen,draft-translation,,,,,
strings,Add a Task,,,,Add a Task,de,Eine Aufgabe hinzufügen,draft-translation,,,,,
strings,Add another session,,,,Add another session,de,Weitere Sitzung hinzufügen,draft-translation,,,,,
strings,Add career record,,,,Add career record,de,Karriere-Eintrag hinzufügen,draft-translation,,,,,
strings,Add session,,,,Add session,de,Sitzung hinzufügen,draft-translation,,,,,
strings,Add task,,,,Add task,de,Aufgabe hinzufügen,draft-translation,,,,,
strings,Add task or protocol,,,,Add task or protocol,de,Aufgabe oder Protokoll hinzufügen,draft-translation,,,,,
strings,Add to Focus,,,,Add to Focus,de,Zu Fokus hinzufügen,draft-translation,,,,,
strings,Add to Protocol,,,,Add to Protocol,de,Zu Protokoll hinzufügen,draft-translation,,,,,
strings,Add to Today,,,,Add to Today,de,Zu Heute hinzufügen,draft-translation,,,,,
strings,Advance,,,,Advance,de,Voranbringen,draft-translation,,,,,
strings,Anytime,,,,Anytime,de,Jederzeit,draft-translation,,,,,
strings,Archive,,,,Archive,de,Archivieren,draft-translation,,,,,
strings,Archive Note,,,,Archive Note,de,Notiz archivieren,draft-translation,,,,,
strings,Archive Protocol,,,,Archive Protocol,de,Protokoll archivieren,draft-translation,,,,,
strings,Archived,,,,Archived,de,Archiviert,draft-translation,,,,,
strings,Archived Notes,,,,Archived Notes,de,Archivierte Notizen,draft-translation,,,,,
strings,Archived Protocols,,,,Archived Protocols,de,Archivierte Protokolle,draft-translation,,,,,
strings,Archived protocols stay available below.,,,,Archived protocols stay available below.,de,Archivierte Protokolle bleiben unten verfügbar.,draft-translation,,,,,
strings,Author / Creator,,,,Author / Creator,de,Autor / Ersteller,draft-translation,,,,,
strings,Author / creator,,,,Author / creator,de,Autor / Ersteller,draft-translation,,,,,
strings,Avg readiness,,,,Avg readiness,de,Ø Bereitschaft,draft-translation,,,,,
strings,Best day,,,,Best day,de,Bester Tag,draft-translation,,,,,
strings,Body,,,,Body,de,Inhalt,draft-translation,,,,,
strings,Body (optional),,,,Body (optional),de,Inhalt (optional),draft-translation,,,,,
strings,Browse Previous Days,,,,Browse Previous Days,de,Frühere Tage durchsuchen,draft-translation,,,,,
strings,Build,,,,Build,de,Build,english-placeholder,,,,,
strings,Build Info,,,,Build Info,de,Build-Info,draft-translation,,,,,
strings,Cancel,,,,Cancel,de,Abbrechen,draft-translation,,,,,
strings,Capture -> Source -> Permanent -> Draft Seed -> Draft -> Published,,,,Capture -> Source -> Permanent -> Draft Seed -> Draft -> Published,de,Erfassung -> Quelle -> Dauerhaft -> Entwurfssaat -> Entwurf -> Veröffentlicht,draft-translation,,,,,
strings,Capture Note,,,,Capture Note,de,Notiz erfassen,draft-translation,,,,,
strings,Capture a Note,,,,Capture a Note,de,Eine Notiz erfassen,draft-translation,,,,,
strings,Capture a note,,,,Capture a note,de,Eine Notiz erfassen,draft-translation,,,,,
strings,Capture new note,,,,Capture new note,de,Neue Notiz erfassen,draft-translation,,,,,
strings,Career,,,,Career,de,Karriere,draft-translation,,,,,
strings,Carry Forward,,,,Carry Forward,de,Übertragen,draft-translation,,,,,
strings,Check in,,,,Check in,de,Einchecken,draft-translation,,,,,
strings,Check-in,,,,Check-in,de,Einchecken,draft-translation,,,,,
strings,Citation,,,,Citation,de,Zitat,draft-translation,,,,,
strings,Close the day with one quick note,,,,Close the day with one quick note,de,Schließe den Tag mit einer kurzen Notiz,draft-translation,,,,,
strings,Completed,,,,Completed,de,Abgeschlossen,draft-translation,,,,,
strings,Completion,,,,Completion,de,Abschluss,draft-translation,,,,,
strings,Content,,,,Content,de,Inhalt,draft-translation,,,,,
strings,Continue,,,,Continue,de,Weiter,draft-translation,,,,,
strings,Continue Run,,,,Continue Run,de,Durchlauf fortsetzen,draft-translation,,,,,
strings,Copies the full build identity to the clipboard so you can paste it into a bug report.,,,,Copies the full build identity to the clipboard so you can paste it into a bug report.,de,"Kopiert die vollständige Build-Identität in die Zwischenablage, damit Sie sie in einen Fehlerbericht einfügen können.",draft-translation,,,,,
strings,Couldn't Update Career,,,,Couldn't Update Career,de,Karriere konnte nicht aktualisiert werden,draft-translation,,,,,
strings,Couldn't Update Home,,,,Couldn't Update Home,de,Haushalt konnte nicht aktualisiert werden,draft-translation,,,,,
strings,Couldn't Update Session,,,,Couldn't Update Session,de,Sitzung konnte nicht aktualisiert werden,draft-translation,,,,,
strings,Couldn't Update Today,,,,Couldn't Update Today,de,Heute konnte nicht aktualisiert werden,draft-translation,,,,,
strings,Couldn't Update Write,,,,Couldn't Update Write,de,Schreiben konnte nicht aktualisiert werden,draft-translation,,,,,
strings,Current,,,,Current,de,Aktuell,draft-translation,,,,,
strings,Custom,,,,Custom,de,Benutzerdefiniert,draft-translation,,,,,
strings,Date accessed or created,,,,Date accessed or created,de,Datum zugegriffen oder erstellt,draft-translation,,,,,
strings,Days active,,,,Days active,de,Aktive Tage,draft-translation,,,,,
strings,Defer,,,,Defer,de,Aufschieben,draft-translation,,,,,
strings,Delete,,,,Delete,de,Löschen,draft-translation,,,,,
strings,Delete Note,,,,Delete Note,de,Notiz löschen,draft-translation,,,,,
strings,Delete this note?,,,,Delete this note?,de,Diese Notiz löschen?,draft-translation,,,,,
strings,Describe the session,,,,Describe the session,de,Sitzung beschreiben,draft-translation,,,,,
strings,Details,,,,Details,de,Details,english-placeholder,,,,,
strings,Details (optional),,,,Details (optional),de,Details (optional),english-placeholder,,,,,
strings,Dismiss,,,,Dismiss,de,Schließen,draft-translation,,,,,
strings,Domain Activity,,,,Domain Activity,de,Bereichsaktivität,draft-translation,,,,,
strings,Domain Intentions,,,,Domain Intentions,de,Bereichsabsichten,draft-translation,,,,,
strings,Done,,,,Done,de,Erledigt,draft-translation,,,,,
strings,Drop,,,,Drop,de,Verwerfen,draft-translation,,,,,
strings,Edit,,,,Edit,de,Bearbeiten,draft-translation,,,,,
strings,Edit Note,,,,Edit Note,de,Notiz bearbeiten,draft-translation,,,,,
strings,Edit Protocol,,,,Edit Protocol,de,Protokoll bearbeiten,draft-translation,,,,,
strings,Edit Source Details,,,,Edit Source Details,de,Quellendetails bearbeiten,draft-translation,,,,,
strings,Edit Task,,,,Edit Task,de,Aufgabe bearbeiten,draft-translation,,,,,
strings,End,,,,End,de,Ende,draft-translation,,,,,
strings,Energy,,,,Energy,de,Energie,draft-translation,,,,,
strings,Evening Reflection,,,,Evening Reflection,de,Abendreflexion,draft-translation,,,,,
strings,Focus,,,,Focus,de,Fokus,draft-translation,,,,,
strings,Focus Suggestions,,,,Focus Suggestions,de,Fokusvorschläge,draft-translation,,,,,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",de,"Fokus befindet sich unter „Weiter“. Wische Fokus-Zeilen, um sie als erledigt zu markieren, aufzuschieben oder zu verwerfen.",draft-translation,,,,,
strings,Good to see you,,,,Good to see you,de,"Schön, Sie zu sehen",draft-translation,,,,,
strings,Hardest day,,,,Hardest day,de,Schwerster Tag,draft-translation,,,,,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,de,Das ist in Ihrem Leben gerade aktiv.,draft-translation,,,,,
strings,Highlights,,,,Highlights,de,Höhepunkte,draft-translation,,,,,
strings,History,,,,History,de,Verlauf,draft-translation,,,,,
strings,Home,,,,Home,de,Haushalt,draft-translation,,,,,
strings,How did it go?,,,,How did it go?,de,Wie ist es gelaufen?,draft-translation,,,,,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,de,"Fügen Sie diesen Block einem Fehlerbericht bei, damit der Build exakt reproduziert werden kann.",draft-translation,,,,,
strings,Insight,,,,Insight,de,Einblick,draft-translation,,,,,
strings,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",,,,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",de,"Elemente mit Tagesabzeichen wurden einige Tage übertragen. Fokus-Zeilen können gewischt werden, um sie als erledigt zu markieren, aufzuschieben oder zu verwerfen.",draft-translation,,,,,
strings,Keep this note here. Move it only when useful.,,,,Keep this note here. Move it only when useful.,de,"Diese Notiz hier behalten. Nur verschieben, wenn nützlich.",draft-translation,,,,,
strings,Kind,,,,Kind,de,Art,draft-translation,,,,,
strings,Mark Pending,,,,Mark Pending,de,Als ausstehend markieren,draft-translation,,,,,
strings,Metrics,,,,Metrics,de,Kennzahlen,draft-translation,,,,,
strings,Metrics (optional),,,,Metrics (optional),de,Kennzahlen (optional),draft-translation,,,,,
strings,Mood,,,,Mood,de,Stimmung,draft-translation,,,,,
strings,Move,,,,Move,de,Verschieben,draft-translation,,,,,
strings,No active household protocols.,,,,No active household protocols.,de,Keine aktiven Haushaltsprotokolle.,draft-translation,,,,,
strings,No active notes,,,,No active notes,de,Keine aktiven Notizen,draft-translation,,,,,
strings,No active tasks.,,,,No active tasks.,de,Keine aktiven Aufgaben.,draft-translation,,,,,
strings,No check-in recorded.,,,,No check-in recorded.,de,Kein Check-in erfasst.,draft-translation,,,,,
strings,No home work yet,,,,No home work yet,de,Noch keine Haushaltsarbeit,draft-translation,,,,,
strings,No household protocols yet.,,,,No household protocols yet.,de,Noch keine Haushaltsprotokolle.,draft-translation,,,,,
strings,No notes yet.,,,,No notes yet.,de,Noch keine Notizen.,draft-translation,,,,,
strings,No records yet,,,,No records yet,de,Noch keine Einträge,draft-translation,,,,,
strings,No sessions planned for today.,,,,No sessions planned for today.,de,Keine Sitzungen für heute geplant.,draft-translation,,,,,
strings,No sessions today,,,,No sessions today,de,Keine Sitzungen heute,draft-translation,,,,,
strings,No source details yet.,,,,No source details yet.,de,Noch keine Quellendetails.,draft-translation,,,,,
strings,No weekly digests yet.,,,,No weekly digests yet.,de,Noch keine Wochenübersichten.,draft-translation,,,,,
strings,Note options,,,,Note options,de,Notiz-Optionen,draft-translation,,,,,
strings,Notes (optional),,,,Notes (optional),de,Notizen (optional),draft-translation,,,,,
strings,OK,,,,OK,de,OK,english-placeholder,,,,,
strings,Open build info,,,,Open build info,de,Build-Info öffnen,draft-translation,,,,,
strings,Opens task details.,,,,Opens task details.,de,Öffnet Aufgabendetails.,draft-translation,,,,,
strings,Optional Reference,,,,Optional Reference,de,Optionale Referenz,draft-translation,,,,,
strings,Overview,,,,Overview,de,Übersicht,draft-translation,,,,,
strings,Owlory keeps your original note text and adds source fields quietly.,,,,Owlory keeps your original note text and adds source fields quietly.,de,Owlory behält Ihren ursprünglichen Notiztext und ergänzt Quellenfelder unauffällig.,draft-translation,,,,,
strings,Plan,,,,Plan,de,Planen,draft-translation,,,,,
strings,Plan Session,,,,Plan Session,de,Sitzung planen,draft-translation,,,,,
strings,Plan a Session,,,,Plan a Session,de,Eine Sitzung planen,draft-translation,,,,,
strings,Plan training session,,,,Plan training session,de,Trainingssitzung planen,draft-translation,,,,,
